iter	Passed	Remaining
412	3226	4586
413	3241	4588
414	3246	4576
415	3255	4569
416	3270	4571
417	3274	4559
418	3312	4593
419	3318	4583
420	3335	4587
421	3342	4577
422	3348	4567
423	3359	4563
424	3365	4553
425	3373	4545
426	3379	4535
427	3397	4541
428	3413	4543
429	3418	4531
430	3423	4519
431	3448	4534
432	3454	4524
433	3459	4511
434	3467	4503
435	3472	4491
436	3477	4479
437	3481	4466
438	3491	4462
439	3498	4452
440	3505	4444
441	3529	4455
442	3534	4444
443	3545	4439
444	3550	4427
445	3650	4534
446	3676	4548
447	3748	4618
448	3764	4619
449	3769	4606
450	3773	4593
451	3778	4580
452	3808	4598
453	3813	4586
454	3822	4578
455	3830	4569
456	3837	4559
457	3841	4546
458	3847	4534
459	3853	4523
460	3856	4509
461	3859	4494
462	3862	4480
463	3865	4465
464	3867	4450
465	3870	4435
466	3873	4420
467	3876	4406
468	3886	4399
469	3893	4390
470	3898	4378
471	3903	4366
472	3909	4355
473	3911	4341
474	3916	4328
475	3920	4316
476	3939	4319
477	3957	4321
478	3962	4310
479	3968	4298
480	3973	4287
481	3987	4285
482	4046	4331
483	4051	4319
484	4055	4306
485	4062	4297
486	4066	4283
487	4074	4274
488	4078	4262
489	4093	4261
490	4098	4248
491	4103	4236
492	4107	4224
493	4113	4213
494	4116	4199
495	4121	4187
496	4125	4175
497	4131	4164
498	4192	4209
499	4197	4197
500	4207	4190
501	4212	4179
502	4214	4164
503	4218	4151
504	4221	4137
505	4223	4123
506	4225	4109
507	4227	4094
508	4232	4082
509	4235	4069
510	4239	4056
511	4244	4045
512	4249	4034
513	4257	4025
514	4260	4012
515	4263	3999
516	4265	3985
517	4269	3972
518	4273	3960
519	4281	3952
520	4287	3942
521	4291	3930
522	4294	3916
523	4296	3903
524	4299	3890
525	4302	3876
526	4304	3863
527	4306	3849
528	4308	3836
529	4312	3823
530	4314	3811
531	4317	3797
532	4320	3785
533	4323	3773
534	4329	3762
535	4336	3754
536	4339	3741
537	4342	3728
538	4344	3716
539	4347	3703
540	4351	3691
541	4354	3679
542	4356	3666
543	4364	3658
544	4370	3648
545	4383	3644
546	4388	3634
547	4390	3621
548	4394	3609
549	4396	3596
550	4399	3585
551	4403	3573
552	4405	3560
553	4407	3548
554	4411	3537
555	4440	3545
556	4443	3533
557	4446	3521
558	4450	3510
559	4452	3498
560	4454	3485
561	4484	3495
562	4487	3483
563	4490	3471
564	4493	3459
565	4497	3448
566	4499	3436
567	4502	3424
568	4504	3411
569	4508	3401
570	4511	3389
571	4514	3378
572	4529	3375
573	4534	3365
574	4540	3356
575	4543	3344
576	4547	3333
577	4550	3322
578	4579	3329
579	4582	3318
580	4585	3306
581	4587	3294
582	4610	3298
583	4620	3291
584	4676	3317
585	4682	3308
586	4688	3298
587	4690	3286
588	4696	3277
589	4699	3265
590	4704	3255
591	4711	3247
592	4716	3237
593	4721	3227
594	4727	3218
595	4733	3208
596	4745	3203
597	4748	3191
598	4750	3179
599	4752	3168
600	4759	3159
601	4764	3149
602	4769	3140
603	4773	3129
604	4777	3119
605	4780	3107
606	4783	3096
607	4787	3086
608	4791	3076
609	4794	3065
610	4799	3055
611	4803	3045
612	4807	3034
613	4811	3025
614	4817	3015
615	4823	3006
616	4828	2997
617	4838	2990
618	4842	2980
619	4847	2971
620	4855	2963
621	4859	2953
622	4872	2948
623	4876	2938
624	4882	2929
625	4907	2931
626	4914	2923
627	4921	2915
628	4924	2904
