iter	RMSE
242	0.4228683263
243	0.4219716674
244	0.4210240307
245	0.4180619516
246	0.4168247175
247	0.414634222
248	0.4138001568
249	0.4118592871
250	0.4088450778
251	0.405911222
252	0.4050172631
253	0.4041338728
254	0.4031882779
255	0.4022283852
256	0.3996284694
257	0.398763357
258	0.3956767182
259	0.3938730998
260	0.3908886266
261	0.3895796686
262	0.3887440941
263	0.3878992513
264	0.3870643903
265	0.3853007073
266	0.3844875506
267	0.3831526002
268	0.3817677128
269	0.3809769613
270	0.3780967657
271	0.3773248538
272	0.3754124224
273	0.3732299931
274	0.3712574867
275	0.369624523
276	0.3688543873
277	0.3680874575
278	0.3673467401
279	0.3665290027
280	0.3657912882
281	0.3650728751
282	0.3643426197
283	0.3618137974
284	0.3602598405
285	0.3587948874
286	0.3580768472
287	0.3573852431
288	0.3553258865
289	0.35463438
290	0.351578887
291	0.3487190192
292	0.3474529005
293	0.346777425
294	0.3448337126
295	0.3441599884
296	0.3434970955
297	0.3423842348
298	0.3417327694
299	0.3391733941
300	0.3373424846
301	0.3356518203
302	0.335007039
303	0.3332025344
304	0.3314791659
305	0.3308429809
306	0.3290798042
307	0.3284514705
308	0.3278380164
309	0.3260980219
310	0.3254905409
311	0.3248804789
312	0.3239721074
313	0.3233750519
314	0.3210075107
315	0.3200270583
316	0.3194410567
317	0.3171023736
318	0.3161507467
319	0.3139106649
320	0.3133416107
321	0.3123168239
322	0.3117542914
323	0.3097640673
324	0.3092077532
325	0.3083934547
326	0.3064509745
327	0.3045470127
328	0.3040036773
329	0.3034660969
330	0.3016038194
331	0.2997785927
332	0.297989741
333	0.297463702
334	0.2959955681
335	0.2951985898
336	0.2934503144
337	0.2929367998
338	0.2912252937
339	0.2907189589
340	0.2889591424
341	0.2872363371
342	0.2867336966
343	0.286237072
344	0.2844707235
345	0.2839818663
346	0.2834988752
347	0.2820327966
348	0.2815539625
349	0.2809444823
350	0.279361325
351	0.2788900898
352	0.277207349
353	0.2767405564
354	0.2753383092
355	0.27487549
356	0.2744189428
357	0.273042171
358	0.2725875202
359	0.2718607601
360	0.2705357082
361	0.2699677512
362	0.2684676574
363	0.2671476486
364	0.2667032215
365	0.2654228347
366	0.2648715815
367	0.2636259154
368	0.2631887744
369	0.2623215418
370	0.2608102221
371	0.2603811429
372	0.2595214855
373	0.2585829615
374	0.2581557859
375	0.2567490941
376	0.2563264358
377	0.255143506
378	0.2546277878
379	0.2528154951
380	0.2517897354
381	0.2506363973
382	0.2494728372
383	0.2483706774
384	0.2479582225
385	0.2470867611
386	0.2466783673
387	0.2462741726
388	0.2455039739
389	0.2451046346
390	0.2440073223
391	0.2436122686
392	0.2432196162
393	0.2419830815
394	0.2408789418
395	0.2396730844
396	0.2392833118
397	0.2382045321
398	0.2378190158
399	0.2367721035
400	0.2363901521
401	0.2360112889
402	0.2352888839
403	0.2349130122
404	0.23453987
405	0.2337503304
406	0.2333784898
407	0.2323366475
408	0.2311812419
409	0.2308133294
410	0.229795808
411	0.2290133257
412	0.2286474463
413	0.2276546163
414	0.2272925383
415	0.2269337516
416	0.2259611965
417	0.2255789401
418	0.2252246258
419	0.2242515572
420	0.223900161
421	0.2235514466
422	0.22320575
423	0.2228607911
424	0.2219160983
425	0.2211852138
426	0.2208428678
427	0.2205026571
428	0.2195809327
429	0.2192429258
430	0.2185079634
431	0.2181726402
432	0.2169904277
433	0.2166583106
434	0.2153814249
435	0.2150524411
436	0.214726889
437	0.2134779194
438	0.2131543945
439	0.2128334493
440	0.211983591
441	0.2109809523
442	0.2106616309
443	0.2098346746
444	0.2095169897
445	0.2092016911
446	0.2083459089
447	0.2073701987
448	0.207056567
449	0.2058041083
450	0.2054923517
451	0.2051828604
452	0.2043539236
453	0.2040468515
454	0.2037426666
455	0.2029503944
456	0.2026466926
457	0.2018381607
458	0.200644579
459	0.2003438397
460	0.1992621453
461	0.1989646803
462	0.1986693617
463	0.1978134652
464	0.1975194113
465	0.1965469585
466	0.1962539965
467	0.195962962
468	0.1952014
469	0.1949126674
470	0.1946256929
471	0.1943396904
472	0.1933429367
473	0.1930576219
474	0.1927745541
475	0.1924926675
476	0.192212182
477	0.1919328372
478	0.1911891381
479	0.1909094222
480	0.1906319224
481	0.1903555109
482	0.1897512235
483	0.1894758278
484	0.1892018491
485	0.1882679997
486	0.1879944352
487	0.1877227503
488	0.187452293
489	0.1867343352
490	0.1864645057
491	0.1861958803
492	0.1859291133
493	0.1856633835
494	0.1848701697
495	0.1846050909
496	0.1843422324
497	0.1834348165
498	0.1831718926
499	0.1829110169
500	0.182651279
501	0.1819547642
502	0.1816952426
503	0.181437415
504	0.1811811358
505	0.1805912801
506	0.1803354253
507	0.1800811077
508	0.1798278474
509	0.1795756938
510	0.1789979237
511	0.1787458111
512	0.178494787
513	0.1782451966
514	0.1775350439
515	0.1772854558
516	0.1770373954
517	0.1767903703
518	0.1765449099
519	0.1762999856
520	0.1757423432
521	0.1754980345
522	0.1752547582
523	0.1750126008
524	0.1742633298
525	0.1740211823
526	0.173780802
527	0.1735419063
528	0.1733042236
529	0.1723542507
530	0.1721165315
531	0.1715781409
532	0.1713422513
533	0.1711075323
534	0.1699042583
535	0.1696702955
536	0.1694380192
537	0.1687274469
538	0.1684960984
539	0.1672957469
540	0.166124376
541	0.1654393422
542	0.1652090403
543	0.1640687702
544	0.1634058666
545	0.1631776834
546	0.1620677155
547	0.161841495
548	0.1613513214
549	0.1611259624
550	0.160902416
551	0.1598234888
552	0.1591892435
553	0.1589666879
554	0.1587458115
555	0.1576970311
556	0.1574764402
557	0.1569824094
558	0.156763572
559	0.1557449594
560	0.1554932261
561	0.1552770777
562	0.1544382658
563	0.1542229713
564	0.1540097421
565	0.1534067553
566	0.1531948502
567	0.1522103984
568	0.1520000407
569	0.1517574648
570	0.1515496881
571	0.1505887808
572	0.1503816843
573	0.1496799139
574	0.1494737376
575	0.1492692076
576	0.1490657702
577	0.148620575
578	0.1484186123
579	0.1482178505
580	0.1480178268
581	0.1478192679
582	0.1472456997
583	0.1470470607
584	0.1468494246
585	0.1466531503
586	0.1464575705
587	0.1462632016
588	0.1458320911
589	0.1456382117
590	0.1454447253
591	0.1452526895
592	0.1450611873
593	0.1448702599
594	0.1444090944
595	0.1442183706
596	0.1440283999
597	0.1438394494
598	0.1436513093
599	0.1434636371
600	0.143045488
601	0.1428579395
602	0.1426714176
603	0.1424855039
604	0.1423003512
605	0.1421160079
606	0.1416541743
607	0.1414694776
608	0.1412859132
609	0.1411029651
610	0.1409203959
611	0.1407388122
612	0.1401189582
613	0.1399368446
614	0.1397555026
615	0.1395751361
616	0.1393954805
617	0.1389936256
618	0.1388142871
619	0.138636096
620	0.1384584515
621	0.1382813462
622	0.1378678972
623	0.1376907436
624	0.137514594
625	0.1373388758
626	0.1371639011
627	0.1369895409
628	0.1368153364
629	0.1366418725
630	0.1364688589
631	0.1360777615
632	0.135904687
633	0.1357322782
634	0.1355606611
635	0.1353894105
636	0.1352185973
637	0.1346309596
638	0.1344600292
639	0.1342896781
640	0.1341201841
641	0.1339514882
642	0.1335322498
643	0.1333638304
644	0.1331958939
645	0.1330286931
646	0.1326519776
647	0.132484862
648	0.1323183811
649	0.1321528021
650	0.1319874161
651	0.1318227119
652	0.1316586212
653	0.131092842
654	0.1309284512
655	0.1307646789
656	0.1306018172
657	0.1300693346
658	0.1299064327
659	0.1297442663
660	0.1295829203
661	0.1294221595
662	0.1289019459
663	0.1287411115
664	0.1285810343
665	0.1284215949
666	0.1282626397
667	0.1281043872
668	0.1277436083
669	0.1275855454
670	0.1271407055
671	0.1269828952
672	0.1268259703
673	0.1266694296
674	0.1265135822
675	0.1263583145
676	0.1262032741
677	0.1257689788
678	0.1256141491
679	0.1254599312
680	0.1253061987
681	0.1251529532
682	0.1250003071
683	0.1248481349
684	0.12453177
685	0.1243796108
686	0.1242279075
687	0.1240768928
688	0.1239262817
689	0.1235398787
690	0.1233893694
691	0.1232394573
692	0.123089948
693	0.1229409408
694	0.1222593737
695	0.1221100363
696	0.1219620437
697	0.1214431397
698	0.1212950806
699	0.1211482896
700	0.1210017817
701	0.1206924807
702	0.1205464823
703	0.1204010047
704	0.1202564595
705	0.120112149
706	0.119968216
707	0.1194843248
708	0.119340568
709	0.1191971484
710	0.119054627
711	0.1189125077
712	0.1185530921
713	0.1184109854
714	0.1177606934
715	0.1176186605
716	0.1174778929
717	0.1170146371
718	0.1168740603
719	0.116734138
720	0.1165948443
721	0.1164559547
722	0.1158216057
723	0.1156828939
724	0.1155451577
725	0.1151930812
726	0.1150556054
727	0.1149187738
728	0.1147825597
729	0.1143391086
730	0.1142026788
731	0.1140666862
732	0.1134594952
733	0.1133237678
734	0.1131891086
735	0.1128993008
736	0.1127650557
737	0.1126314342
738	0.1121075814
739	0.1119741762
740	0.1118417864
741	0.1115069448
742	0.111374733
743	0.1112432113
744	0.1111120973
745	0.1109813195
746	0.1105601286
747	0.1104294174
748	0.1102991878
749	0.1097184188
750	0.1095882139
751	0.1094590038
752	0.1093302979
753	0.1090510282
754	0.1089229811
755	0.1087953146
756	0.1082967306
757	0.1081690966
758	0.1080423753
759	0.1076369153
760	0.1075104981
761	0.1073848711
762	0.1068163156
763	0.1066904887
764	0.106565733
765	0.1062963047
766	0.1061717732
767	0.105691577
768	0.1055677804
769	0.1054447277
770	0.1053221264
771	0.105018606
772	0.1048961244
773	0.1047743152
774	0.1044656
775	0.1043440072
776	0.1037284933
777	0.1036071257
778	0.1034867003
779	0.1033667628
780	0.1031076938
781	0.1029880969
782	0.1025288711
783	0.1024094679
784	0.1022910338
785	0.1019377923
786	0.1018194858
787	0.1017018125
788	0.1015845632
789	0.101467525
790	0.1013509849
791	0.1010552163
792	0.1009387875
793	0.100822642
794	0.1007072065
795	0.1005711559
796	0.1004561727
797	0.1000911236
798	0.09997642194
799	0.09928195141
800	0.09916707575
801	0.09905342849
802	0.09894036185
803	0.09869183589
804	0.0985586887
805	0.09844628387
806	0.09833444143
807	0.09822305155
808	0.09811195771
809	0.09800115194
810	0.0978907202
811	0.09759283637
812	0.0974824663
813	0.09737223139
814	0.09726241558
815	0.09715313954
816	0.09704402923
817	0.09693524062
818	0.09665512357
819	0.09654657033
820	0.09643828129
821	0.09576971702
822	0.09566220574
823	0.0955551944
824	0.09526400614
825	0.09504606979
826	0.09493923268
827	0.09483284408
828	0.0947270321
829	0.09407772847
830	0.09375693296
831	0.09365152506
832	0.09352724967
833	0.09342310493
834	0.09331909408
835	0.0930644921
836	0.09294148876
837	0.0928380244
838	0.09273480442
839	0.09244774718
840	0.09234510217
841	0.09224265745
842	0.0921406568
843	0.09203903515
844	0.09177776479
845	0.09115542169
846	0.09105408841
847	0.09075113079
848	0.09065027053
849	0.09054986309
850	0.09044998002
851	0.09033137403
852	0.09023172657
853	0.09013257929
854	0.0898881735
855	0.0896248928
856	0.0895255961
857	0.08942675081
858	0.0893284407
859	0.0892304776
860	0.08913276845
861	0.08888411186
862	0.08878669289
863	0.08868943997
864	0.08859240922
865	0.08799904554
866	0.08790256288
867	0.08766364831
868	0.08756773878
869	0.08747237648
870	0.08715068501
871	0.08705515883
872	0.08696021525
873	0.08672748365
874	0.08663271029
875	0.08651986955
876	0.08642588377
877	0.08633223852
878	0.08596920481
879	0.0858756956
880	0.08578251563
881	0.08568976356
882	0.08546084277
883	0.08536830436
884	0.08516007113
885	0.08488450418
886	0.08479200579
887	0.08469997819
888	0.08459043844
889	0.08449910962
890	0.08440810942
891	0.08430005931
892	0.08420949799
893	0.08411924699
894	0.08402920731
895	0.08382769866
896	0.08373774754
897	0.08364811796
898	0.08355866237
899	0.08345222402
900	0.08336327728
901	0.08306419295
902	0.08297498379
903	0.08288618361
904	0.08279776244
905	0.08257015367
906	0.08248199768
907	0.08239415337
908	0.0822896734
909	0.0822022954
910	0.08211495569
911	0.08153818237
912	0.08127975269
913	0.08119247181
914	0.08110568242
915	0.08101928435
916	0.08086185868
917	0.08077583606
918	0.08069023795
919	0.08058843436
920	0.08050329862
921	0.08041834117
922	0.08033353523
923	0.08014382559
924	0.08004299204
925	0.07995843006
926	0.0798740892
927	0.07979000743
928	0.07969031802
929	0.07960653863
930	0.07952292913
931	0.07937059632
932	0.07928709508
933	0.07918832896
934	0.07910521737
935	0.07902232886
936	0.07893972882
937	0.07885731209
938	0.07857787046
939	0.07849515498
940	0.07841291211
941	0.07833092577
942	0.07812819
943	0.07804639076
944	0.07777289479
945	0.07769126018
946	0.07761004709
947	0.07752928232
948	0.07728192435
949	0.0771855412
950	0.07710483688
951	0.077024258
952	0.07692884248
953	0.07666567253
954	0.07658537095
955	0.07650526803
956	0.07642547226
957	0.07622833873
958	0.07614869075
959	0.07590837968
960	0.07581409901
961	0.075734878
962	0.07549388741
963	0.07541456108
964	0.07533580626
965	0.07485466749
966	0.07467877283
967	0.07444948421
968	0.07436515063
969	0.07428133677
970	0.07413852096
971	0.07405540497
972	0.0739725704
973	0.07389020989
974	0.07380801996
975	0.07372603054
976	0.07362445572
977	0.07354291776
978	0.07346152544
979	0.07338034827
980	0.07329945565
981	0.0731622685
982	0.07308140418
983	0.07300075391
984	0.07292036043
985	0.07284023564
986	0.07270504489
987	0.07262494537
988	0.07254504953
989	0.07246552357
990	0.07238617361
991	0.07230699434
992	0.07206787263
993	0.07198873516
994	0.07190995852
995	0.07177359536
996	0.07169509263
997	0.07161681524
998	0.07153873124
999	0.07146091776
